5.72372e-05 6.33112e+05  4.04848e+05 4.04848e+05 2.09839e+04
1.19535e-03 1.22362e+06  7.08974e+07 7.15558e+07 1.96642e+05
2.32535e-03 1.14431e+06  2.63078e+08 2.63654e+08 3.26357e+05
3.44691e-03 1.00665e+06  5.68527e+08 5.68957e+08 4.17605e+05
4.56080e-03 1.11264e+06  9.79885e+08 9.80446e+08 5.17658e+05
5.66630e-03 1.00578e+06  1.49006e+09 1.49050e+09 5.82544e+05
6.76423e-03 1.17145e+06  2.09292e+09 2.09353e+09 6.50970e+05
7.85445e-03 1.02504e+06  2.78253e+09 2.78298e+09 7.14157e+05
8.93716e-03 1.09716e+06  3.55367e+09 3.55420e+09 7.68659e+05
1.00123e-02 6.73036e+05  4.39115e+09 4.39149e+09 8.21941e+05
1.10825e-02 1.86371e+05  4.39126e+09 4.39149e+09 8.78807e+05
1.21531e-02 1.73772e+05  4.39129e+09 4.39149e+09 8.99762e+05
1.32236e-02 1.42565e+05  4.39132e+09 4.39149e+09 9.34060e+05
1.42946e-02 1.32061e+05  4.39134e+09 4.39149e+09 9.59216e+05
1.53656e-02 1.05103e+05  4.39137e+09 4.39149e+09 9.71027e+05
1.64367e-02 7.97990e+04  4.39140e+09 4.39149e+09 9.79502e+05
1.75078e-02 9.41549e+04  4.39138e+09 4.39149e+09 9.88659e+05
1.85787e-02 7.28546e+04  4.39141e+09 4.39149e+09 1.00049e+06
1.96500e-02 7.51747e+04  4.39140e+09 4.39149e+09 1.00351e+06
2.00000e-02 6.09668e+04  4.39143e+09 4.39149e+09 1.00505e+06
