5.72372e-05 4.66916e+05  3.73449e+05 3.73449e+05 2.09839e+04
1.14474e-04 8.15813e+05  8.15638e+05 1.23467e+06 2.93653e+04
1.71577e-04 1.09752e+06  1.36726e+06 2.15812e+06 4.51583e+04
2.28539e-04 1.07517e+06  2.29226e+06 3.01927e+06 5.92673e+04
2.85513e-04 9.50493e+05  3.44007e+06 3.99060e+06 6.39003e+04
3.42514e-04 8.15223e+05  4.85772e+06 5.27431e+06 7.20991e+04
3.99450e-04 7.16823e+05  6.59698e+06 6.91992e+06 8.00724e+04
4.56400e-04 7.15369e+05  8.54404e+06 8.86485e+06 8.12134e+04
5.13394e-04 7.28262e+05  1.07081e+07 1.10441e+07 9.04592e+04
5.70374e-04 6.94182e+05  1.31482e+07 1.34451e+07 1.06411e+05
6.27367e-04 6.76988e+05  1.57986e+07 1.61073e+07 1.18846e+05
6.84367e-04 6.55317e+05  1.87936e+07 1.90782e+07 1.34701e+05
7.41317e-04 6.71778e+05  2.21029e+07 2.23652e+07 1.46209e+05
7.98238e-04 8.15382e+05  2.54838e+07 2.59227e+07 1.48431e+05
8.55148e-04 9.14805e+05  2.91321e+07 2.96843e+07 1.52578e+05
9.11915e-04 8.83363e+05  3.31119e+07 3.36137e+07 1.55069e+05
9.68673e-04 8.32285e+05  3.73084e+07 3.77535e+07 1.56456e+05
1.02548e-03 7.97238e+05  4.17407e+07 4.21581e+07 1.60052e+05
1.08226e-03 7.36558e+05  4.64774e+07 4.68306e+07 1.66430e+05
1.13905e-03 6.99817e+05  5.13983e+07 5.17345e+07 1.75272e+05
1.19581e-03 6.73661e+05  5.65057e+07 5.68334e+07 1.88037e+05
1.25258e-03 5.93182e+05  6.19698e+07 6.21652e+07 1.98255e+05
1.30933e-03 5.68676e+05  6.76780e+07 6.78179e+07 2.03515e+05
1.36608e-03 6.76030e+05  7.35829e+07 7.38487e+07 2.09266e+05
1.42281e-03 8.49720e+05  7.97334e+07 8.02003e+07 2.12923e+05
1.47944e-03 9.79802e+05  8.60857e+07 8.67230e+07 2.14796e+05
1.53609e-03 9.50432e+05  9.27015e+07 9.33270e+07 2.18147e+05
1.59268e-03 7.80135e+05  9.96035e+07 1.00034e+08 2.20382e+05
