5.61052e-05 6.32819e+05  3.99693e+05 3.99693e+05 3.08533e+04
6.14930e-04 1.07134e+06  1.91839e+07 1.96749e+07 1.58136e+05
1.17194e-03 1.21164e+06  6.82365e+07 6.88791e+07 2.66303e+05
1.72714e-03 1.21024e+06  1.46580e+08 1.47224e+08 3.55036e+05
2.28008e-03 1.10208e+06  2.53159e+08 2.53683e+08 4.26391e+05
2.83116e-03 1.07501e+06  3.87085e+08 3.87578e+08 4.75689e+05
3.38019e-03 1.08196e+06  5.47401e+08 5.47893e+08 5.43632e+05
3.92746e-03 1.12895e+06  7.33224e+08 7.33777e+08 6.13489e+05
4.47262e-03 9.79894e+05  9.43726e+08 9.44131e+08 6.76148e+05
5.01587e-03 9.17493e+05  1.17801e+09 1.17837e+09 7.14174e+05
5.55721e-03 8.86884e+05  1.43549e+09 1.43582e+09 7.56815e+05
6.09667e-03 9.65759e+05  1.71530e+09 1.71572e+09 8.05316e+05
6.63424e-03 9.62999e+05  2.01681e+09 2.01723e+09 8.55168e+05
7.16999e-03 8.48316e+05  2.33933e+09 2.33963e+09 8.92219e+05
7.70390e-03 8.15884e+05  2.68221e+09 2.68245e+09 9.32934e+05
8.23609e-03 9.06265e+05  3.04492e+09 3.04527e+09 9.73990e+05
8.76635e-03 9.82557e+05  3.42668e+09 3.42710e+09 1.02010e+06
9.29483e-03 9.00109e+05  3.82703e+09 3.82735e+09 1.05754e+06
9.82148e-03 9.42296e+05  4.24535e+09 4.24572e+09 1.09315e+06
1.00000e-02 9.54322e+05  4.39142e+09 4.39179e+09 1.10579e+06
