5.61052e-05 4.66587e+05  3.69522e+05 3.69522e+05 3.08533e+04
6.15038e-04 6.77220e+05  1.52262e+07 1.55313e+07 1.59387e+05
1.17244e-03 6.74097e+05  5.44160e+07 5.47392e+07 2.44767e+05
1.72810e-03 6.06233e+05  1.17058e+08 1.17263e+08 3.08598e+05
2.28210e-03 7.77128e+05  2.02391e+08 2.02778e+08 3.63280e+05
2.83425e-03 7.28964e+05  3.09724e+08 3.10083e+08 4.19788e+05
3.38469e-03 6.94248e+05  4.38462e+08 4.38756e+08 4.75534e+05
3.93341e-03 7.58837e+05  5.87776e+08 5.88157e+08 5.29874e+05
4.48051e-03 6.27891e+05  7.57279e+08 7.57521e+08 5.78537e+05
5.02603e-03 6.66956e+05  9.46287e+08 9.46582e+08 6.22660e+05
5.56999e-03 8.23317e+05  1.15423e+09 1.15469e+09 6.65054e+05
6.11237e-03 7.67955e+05  1.38066e+09 1.38104e+09 7.06515e+05
6.65307e-03 6.38323e+05  1.62490e+09 1.62516e+09 7.48431e+05
7.19205e-03 6.24970e+05  1.88650e+09 1.88673e+09 7.90111e+05
7.72950e-03 6.84786e+05  2.16501e+09 2.16530e+09 8.30034e+05
8.26533e-03 6.93955e+05  2.45995e+09 2.46026e+09 8.67852e+05
8.79975e-03 7.21228e+05  2.77094e+09 2.77130e+09 9.03623e+05
9.33269e-03 7.49689e+05  3.09756e+09 3.09795e+09 9.37090e+05
9.86428e-03 6.97587e+05  3.43953e+09 3.43984e+09 9.71778e+05
1.00000e-02 6.69468e+05  3.52933e+09 3.52963e+09 9.81702e+05
