4.29978e-06 1.20544e-05  9.20265e-09 9.20265e-09 2.25127e-09
4.30405e-03 3.35314e-04  3.16866e-04 6.00119e-04 1.27667e-06
8.60380e-03 5.25895e-04  8.21474e-04 1.26412e-03 2.42720e-06
1.29036e-02 4.08162e-04  1.66862e-03 2.01278e-03 3.60570e-06
1.72033e-02 6.08414e-04  2.77169e-03 3.27897e-03 4.69792e-06
2.15031e-02 8.99531e-04  4.24764e-03 4.98714e-03 6.04280e-06
2.58029e-02 7.39786e-04  6.02953e-03 6.66449e-03 7.59453e-06
3.01026e-02 6.63480e-04  8.19276e-03 8.76249e-03 8.98056e-06
3.44023e-02 4.84437e-04  1.06537e-02 1.10716e-02 1.05955e-05
3.87021e-02 5.30500e-04  1.33814e-02 1.38527e-02 1.18473e-05
4.30019e-02 4.52632e-04  1.65832e-02 1.69694e-02 1.30101e-05
4.73016e-02 4.11690e-04  1.99986e-02 2.03446e-02 1.43752e-05
5.16014e-02 3.35063e-04  2.38085e-02 2.40884e-02 1.54613e-05
5.59011e-02 6.45691e-04  2.78635e-02 2.83955e-02 1.67112e-05
6.02009e-02 5.41369e-04  3.22911e-02 3.27342e-02 1.78043e-05
6.45006e-02 4.42758e-04  3.69903e-02 3.73666e-02 1.87727e-05
6.88004e-02 5.15892e-04  4.21374e-02 4.25609e-02 1.97535e-05
7.31002e-02 5.32460e-04  4.75236e-02 4.79610e-02 2.07490e-05
7.73999e-02 2.74665e-04  5.32418e-02 5.34634e-02 2.16769e-05
8.16997e-02 3.35933e-04  5.93529e-02 5.96312e-02 2.25098e-05
8.59994e-02 6.46073e-04  6.57093e-02 6.62553e-02 2.33686e-05
9.02992e-02 4.56924e-04  7.24297e-02 7.28280e-02 2.43932e-05
9.45990e-02 5.33831e-04  7.94261e-02 7.98990e-02 2.53151e-05
9.88987e-02 7.46549e-04  8.68035e-02 8.74413e-02 2.66641e-05
1.03198e-01 7.39852e-04  9.44667e-02 9.51163e-02 2.77418e-05
1.07498e-01 4.91951e-04  1.02569e-01 1.02990e-01 2.88271e-05
1.11798e-01 5.24516e-04  1.10876e-01 1.11316e-01 2.99323e-05
1.16098e-01 4.11695e-04  1.19565e-01 1.19903e-01 3.07691e-05
1.20397e-01 5.28723e-04  1.28557e-01 1.28996e-01 3.16594e-05
1.24697e-01 4.73604e-04  1.37839e-01 1.38217e-01 3.26106e-05
1.28997e-01 3.25163e-04  1.47501e-01 1.47765e-01 3.34184e-05
1.33297e-01 5.11658e-04  1.57486e-01 1.57909e-01 3.42647e-05
1.37597e-01 6.24033e-04  1.67805e-01 1.68317e-01 3.50178e-05
1.41896e-01 3.32950e-04  1.78399e-01 1.78689e-01 3.57413e-05
1.46196e-01 4.78347e-04  1.89414e-01 1.89817e-01 3.64168e-05
1.50496e-01 6.59917e-04  2.00640e-01 2.01198e-01 3.71457e-05
1.54796e-01 4.15113e-04  2.12302e-01 2.12658e-01 3.77796e-05
1.59095e-01 4.34249e-04  2.24199e-01 2.24580e-01 3.84271e-05
1.63395e-01 7.27196e-04  2.36435e-01 2.37051e-01 3.92886e-05
1.67695e-01 6.21994e-04  2.49003e-01 2.49537e-01 4.00921e-05
1.71995e-01 5.64456e-04  2.61952e-01 2.62424e-01 4.09654e-05
1.76294e-01 6.10006e-04  2.75195e-01 2.75693e-01 4.20907e-05
1.80594e-01 5.89058e-04  2.88759e-01 2.89254e-01 4.28103e-05
1.84894e-01 4.39340e-04  3.02663e-01 3.03028e-01 4.37867e-05
1.89194e-01 4.33520e-04  3.16809e-01 3.17174e-01 4.45534e-05
1.93493e-01 3.08007e-04  3.31394e-01 3.31649e-01 4.51765e-05
