3.94562e-04 3.06800e+06  2.34446e+05 2.34446e+05 5.44224e+01
7.84454e-04 3.06800e+06  8.56325e+05 8.56325e+05 1.50766e+02
1.16973e-03 3.06800e+06  1.72350e+06 1.72350e+06 2.25489e+02
1.55045e-03 3.06800e+06  2.72041e+06 2.72041e+06 2.82247e+02
1.92666e-03 3.06800e+06  3.75462e+06 3.75462e+06 3.24257e+02
2.29841e-03 3.06800e+06  4.75384e+06 4.75384e+06 3.54343e+02
2.66577e-03 3.06800e+06  5.66317e+06 5.66317e+06 3.74973e+02
3.02878e-03 3.06800e+06  6.44273e+06 6.44273e+06 3.88301e+02
3.38749e-03 3.06800e+06  7.06546e+06 7.06546e+06 3.96191e+02
3.74195e-03 3.06800e+06  7.51526e+06 7.51526e+06 4.00257e+02
4.09222e-03 3.06800e+06  7.78524e+06 7.78524e+06 4.01881e+02
4.43834e-03 3.06800e+06  7.87623e+06 7.87623e+06 4.02244e+02
4.78037e-03 3.06800e+06  7.79547e+06 7.79547e+06 4.03138e+02
5.11799e-03 3.06800e+06  7.55572e+06 7.55572e+06 4.18484e+02
5.45091e-03 3.06800e+06  7.17453e+06 7.17453e+06 4.87560e+02
5.77925e-03 3.06800e+06  6.67240e+06 6.67240e+06 6.72003e+02
6.10312e-03 3.06800e+06  6.07198e+06 6.07198e+06 1.04599e+03
6.42263e-03 3.06800e+06  5.39737e+06 5.39737e+06 1.68887e+03
6.73787e-03 3.06800e+06  4.67355e+06 4.67355e+06 2.67968e+03
7.04894e-03 3.06800e+06  3.92592e+06 3.92592e+06 4.09324e+03
7.35594e-03 3.06800e+06  3.17985e+06 3.17985e+06 5.99747e+03
7.65894e-03 3.06800e+06  2.46040e+06 2.46040e+06 8.45160e+03
7.95804e-03 3.06800e+06  1.79202e+06 1.79202e+06 1.15052e+04
8.25331e-03 3.06800e+06  1.19835e+06 1.19835e+06 1.51975e+04
8.54483e-03 3.06800e+06  7.02048e+05 7.02048e+05 1.95579e+04
8.83267e-03 3.06800e+06  3.24631e+05 3.24631e+05 2.46056e+04
9.11691e-03 3.06800e+06  8.63949e+04 8.63949e+04 3.03504e+04
9.39761e-03 3.06800e+06  6.32920e+03 6.32920e+03 3.67936e+04
9.67483e-03 3.06800e+06  1.02068e+05 1.02068e+05 4.39283e+04
9.94864e-03 3.06800e+06  3.89855e+05 3.89855e+05 5.17405e+04
1.02191e-02 1.10614e+05  4.65956e+05 4.65956e+05 5.25388e+04
1.04941e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.07703e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.10464e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.13226e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.15988e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.18750e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.21512e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.24274e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.27036e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.29798e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.32560e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.35322e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.38084e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.40846e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.43608e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.46370e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.49132e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.51893e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.54655e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.57417e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.60179e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.62941e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.65703e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.68465e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.71227e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.73989e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.76751e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.79513e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.82275e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.85037e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.87799e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.90561e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.93323e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.96084e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
1.98846e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
2.00000e-02 0.00000e+00  4.65956e+05 4.65956e+05 5.25388e+04
