3.94562e-04 7.91609e+03  4.28215e+03 4.28215e+03 1.00594e+00
7.89124e-04 1.66313e+04  1.95785e+03 1.14444e+04 2.05331e+00
1.18255e-03 1.75621e+04  1.34124e+03 1.19671e+04 7.51754e+01
1.57343e-03 8.61218e+03  4.67666e+03 5.29306e+03 1.07084e+02
1.96511e-03 6.50052e+03  2.48681e+02 2.02449e+02 9.97420e+01
2.35768e-03 7.30754e+03  3.67942e+03 3.30669e+03 1.01872e+02
2.75029e-03 1.50735e+04  2.81378e+03 1.04929e+04 1.01821e+02
3.14225e-03 1.81229e+04  7.96523e+02 1.22008e+04 1.62952e+02
3.53139e-03 9.47810e+03  4.82062e+03 6.28859e+03 2.07850e+02
3.92087e-03 6.50893e+03  7.29848e+02 5.68673e+02 1.96710e+02
4.31148e-03 6.91108e+03  2.97880e+03 2.47695e+03 1.98823e+02
4.70217e-03 1.35093e+04  3.58413e+03 9.47879e+03 1.98928e+02
5.09251e-03 1.83624e+04  4.68946e+02 1.22590e+04 2.47687e+02
5.48002e-03 1.04689e+04  4.70805e+03 7.23402e+03 3.03623e+02
5.86738e-03 6.54447e+03  1.38295e+03 1.07771e+03 2.91078e+02
6.25608e-03 6.67826e+03  2.26646e+03 1.80273e+03 2.93048e+02
6.64487e-03 1.20174e+04  4.19506e+03 8.43080e+03 2.93453e+02
7.03340e-03 1.82698e+04  3.89464e+02 1.21491e+04 3.28788e+02
7.41936e-03 1.15422e+04  4.36899e+03 8.10662e+03 3.92618e+02
7.80469e-03 6.63455e+03  2.13366e+03 1.70584e+03 3.81965e+02
8.19154e-03 6.56019e+03  1.62552e+03 1.28951e+03 3.83683e+02
8.57846e-03 1.06619e+04  4.59468e+03 7.37679e+03 3.84429e+02
8.96520e-03 1.78522e+04  5.61555e+02 1.18797e+04 4.06976e+02
9.34968e-03 1.26363e+04  3.85578e+03 8.88125e+03 4.74710e+02
9.73309e-03 6.80897e+03  2.89791e+03 2.42655e+03 4.69266e+02
1.01181e-02 6.51305e+03  1.12957e+03 9.43010e+02 4.70655e+02
1.05032e-02 9.49288e+03  4.75328e+03 6.34719e+03 4.71741e+02
1.08882e-02 1.71404e+04  9.58258e+02 1.14641e+04 4.83882e+02
1.12712e-02 1.36826e+04  3.23790e+03 9.53815e+03 5.51289e+02
1.16528e-02 7.09438e+03  3.59488e+03 3.21276e+03 5.53513e+02
1.20360e-02 6.50094e+03  8.29979e+02 7.62076e+02 5.54433e+02
1.24192e-02 8.53476e+03  4.67104e+03 5.36666e+03 5.55817e+02
1.28025e-02 1.61841e+04  1.52892e+03 1.09190e+04 5.60848e+02
1.31842e-02 1.46162e+04  2.59124e+03 1.00651e+04 6.24107e+02
1.35640e-02 7.50984e+03  4.15831e+03 4.03830e+03 6.35470e+02
1.39451e-02 6.50003e+03  7.53249e+02 7.39494e+02 6.34226e+02
1.43266e-02 7.79111e+03  4.37502e+03 4.45546e+03 6.35833e+02
1.47081e-02 1.50480e+04  2.20724e+03 1.02641e+04 6.37073e+02
1.50885e-02 1.53818e+04  1.99040e+03 1.04560e+04 6.93350e+02
1.54667e-02 8.06467e+03  4.54190e+03 4.87964e+03 7.14752e+02
1.58458e-02 6.50002e+03  9.01958e+02 8.67222e+02 7.10117e+02
1.62255e-02 7.25281e+03  3.91371e+03 3.63713e+03 7.11851e+02
