3.61825e-04 7.83150e+05  6.95945e+04 6.95945e+04 1.19908e+04
7.23650e-04 8.22103e+05  2.20081e+05 2.53546e+05 2.98112e+04
1.08524e-03 9.50146e+05  3.50318e+05 5.07363e+05 3.79649e+04
1.44620e-03 1.19447e+06  3.87317e+05 7.88018e+05 3.89893e+04
1.80607e-03 1.52049e+06  3.17957e+05 1.04831e+06 3.97206e+04
2.15933e-03 1.82642e+06  1.99469e+05 1.24125e+06 4.97539e+04
2.50441e-03 2.00605e+06  1.15468e+05 1.34036e+06 7.56708e+04
2.84345e-03 2.01125e+06  1.13182e+05 1.34337e+06 1.12465e+05
3.17901e-03 1.85970e+06  1.86745e+05 1.26303e+06 1.47539e+05
3.51350e-03 1.61109e+06  2.94719e+05 1.11935e+06 1.70939e+05
3.84900e-03 1.33693e+06  3.86663e+05 9.34892e+05 1.80973e+05
4.18715e-03 1.09722e+06  4.24738e+05 7.32752e+05 1.82677e+05
4.52908e-03 9.27090e+05  3.96780e+05 5.36140e+05 1.82549e+05
4.87314e-03 8.33271e+05  3.21838e+05 3.70409e+05 1.84912e+05
5.21660e-03 7.96123e+05  2.44120e+05 2.58535e+05 1.91881e+05
5.55973e-03 7.87333e+05  2.07209e+05 2.14223e+05 2.02961e+05
5.90269e-03 7.92390e+05  2.30166e+05 2.41380e+05 2.15300e+05
6.24548e-03 8.19431e+05  2.97522e+05 3.33317e+05 2.25322e+05
6.58800e-03 8.90582e+05  3.69070e+05 4.73522e+05 2.30793e+05
6.93000e-03 1.02119e+06  4.04148e+05 6.38218e+05 2.32118e+05
7.27120e-03 1.20054e+06  3.85776e+05 8.00304e+05 2.32049e+05
7.60952e-03 1.38509e+06  3.30718e+05 9.32344e+05 2.34593e+05
7.94191e-03 1.51641e+06  2.78357e+05 1.01351e+06 2.43373e+05
8.26948e-03 1.55591e+06  2.61034e+05 1.03636e+06 2.58081e+05
8.59383e-03 1.49887e+06  2.86485e+05 1.00389e+06 2.74143e+05
8.91667e-03 1.36997e+06  3.39118e+05 9.25983e+05 2.86419e+05
9.23958e-03 1.20860e+06  3.92184e+05 8.16199e+05 2.92693e+05
9.56385e-03 1.05345e+06  4.21547e+05 6.89783e+05 2.94288e+05
9.89045e-03 9.31447e+05  4.15754e+05 5.62489e+05 2.94204e+05
1.00000e-02 9.00268e+05  4.06779e+05 5.22387e+05 2.94339e+05
