1.07494e-07 3.28255e-05  2.90986e-06 2.90986e-06 5.92666e-08
1.18244e-06 1.31635e-04  1.09422e-04 1.96012e-04 4.89153e-07
2.25738e-06 2.26938e-04  2.45488e-04 4.11963e-04 6.91367e-07
3.33243e-06 2.90189e-04  4.40126e-04 6.63438e-04 9.56119e-07
4.40768e-06 3.41023e-04  6.73830e-04 9.49221e-04 1.22094e-06
5.48302e-06 3.68145e-04  9.56046e-04 1.26660e-03 1.64713e-06
6.55847e-06 4.05692e-04  1.37308e-03 1.70260e-03 1.96647e-06
7.63408e-06 5.17127e-04  1.82596e-03 2.23784e-03 2.49159e-06
8.70967e-06 3.23347e-04  2.39397e-03 2.64361e-03 2.90085e-06
9.78538e-06 1.83267e-04  3.01832e-03 3.15400e-03 3.29080e-06
1.08613e-05 1.18709e-04  3.67428e-03 3.75457e-03 3.93853e-06
1.19372e-05 9.84488e-05  4.42808e-03 4.48611e-03 4.27850e-06
1.30133e-05 2.37496e-04  5.21381e-03 5.39202e-03 4.79946e-06
1.40896e-05 2.29764e-04  6.11373e-03 6.28974e-03 5.23969e-06
1.51659e-05 1.49930e-04  7.08113e-03 7.19328e-03 5.47781e-06
1.62424e-05 2.26268e-04  8.11385e-03 8.28909e-03 6.22334e-06
1.73189e-05 2.45913e-04  9.25958e-03 9.44755e-03 6.50733e-06
1.83955e-05 3.71246e-04  1.03948e-02 1.06852e-02 7.03826e-06
1.94724e-05 4.08057e-04  1.16215e-02 1.19461e-02 7.51059e-06
2.05493e-05 2.85636e-04  1.29238e-02 1.31591e-02 7.82303e-06
2.16263e-05 2.71976e-04  1.43134e-02 1.45385e-02 8.34230e-06
2.27035e-05 3.06312e-04  1.58025e-02 1.60444e-02 8.59048e-06
2.37808e-05 3.11528e-04  1.73112e-02 1.75489e-02 9.18167e-06
2.48583e-05 2.52726e-04  1.89241e-02 1.91120e-02 9.62818e-06
2.59357e-05 1.62400e-04  2.05719e-02 2.06904e-02 9.93883e-06
2.70134e-05 1.10149e-04  2.22850e-02 2.23588e-02 1.06328e-05
2.80911e-05 2.02994e-04  2.41062e-02 2.42558e-02 1.08261e-05
2.91690e-05 2.42733e-04  2.59776e-02 2.61668e-02 1.11583e-05
3.02470e-05 2.09149e-04  2.79561e-02 2.81180e-02 1.15256e-05
3.13252e-05 2.12981e-04  2.99715e-02 3.01355e-02 1.19469e-05
3.24034e-05 2.28863e-04  3.20552e-02 3.22358e-02 1.24968e-05
3.34817e-05 3.42057e-04  3.42239e-02 3.44886e-02 1.27467e-05
3.45601e-05 5.11664e-04  3.64104e-02 3.68138e-02 1.36009e-05
3.56387e-05 3.82683e-04  3.87264e-02 3.90250e-02 1.40829e-05
3.67173e-05 2.85551e-04  4.11160e-02 4.13409e-02 1.44427e-05
3.77961e-05 1.88559e-04  4.35795e-02 4.37197e-02 1.50138e-05
