1.07494e-07 3.28272e-05  2.93949e-06 2.93949e-06 8.88998e-08
5.39922e-05 1.56693e-04  8.87005e-02 8.88131e-02 2.70923e-05
1.08169e-04 1.69364e-04  3.54339e-01 3.54458e-01 4.33065e-05
1.62639e-04 2.43800e-04  7.97539e-01 7.97723e-01 5.43647e-05
2.17403e-04 3.71517e-04  1.41898e+00 1.41927e+00 6.19280e-05
2.72462e-04 3.55617e-04  2.21934e+00 2.21963e+00 6.76065e-05
3.27819e-04 3.66718e-04  3.19930e+00 3.19960e+00 7.26327e-05
3.83474e-04 3.19384e-04  4.35952e+00 4.35977e+00 7.63395e-05
4.39429e-04 3.14631e-04  5.70066e+00 5.70091e+00 7.91759e-05
4.95685e-04 2.66070e-04  7.22343e+00 7.22363e+00 8.20255e-05
5.52245e-04 2.94029e-04  8.92851e+00 8.92874e+00 8.51265e-05
6.09109e-04 2.64284e-04  1.08166e+01 1.08168e+01 8.81341e-05
6.66280e-04 3.02119e-04  1.28885e+01 1.28888e+01 9.12321e-05
7.23759e-04 2.85897e-04  1.51449e+01 1.51452e+01 9.46151e-05
7.81520e-04 3.24307e-04  1.75853e+01 1.75856e+01 9.72258e-05
8.39330e-04 3.40317e-04  2.01994e+01 2.01996e+01 1.00285e-04
8.97138e-04 3.34454e-04  2.29828e+01 2.29831e+01 1.02864e-04
9.54945e-04 3.60612e-04  2.59337e+01 2.59340e+01 1.05501e-04
1.00000e-03 2.76344e-04  2.83486e+01 2.83488e+01 1.07281e-04
