2.57205e-05 9.36533e-02  8.02069e-02 8.02069e-02 4.61569e-03
5.39489e-04 3.19734e+00  1.15754e+00 4.26384e+00 5.61358e-02
1.05353e-03 3.80400e+00  9.54943e-01 4.67059e+00 8.27418e-02
1.56769e-03 1.99717e-01  2.43123e-01 3.56398e-01 1.06988e-01
2.08162e-03 2.00556e+00  1.45585e+00 3.37189e+00 1.25928e-01
2.59558e-03 4.83153e+00  5.69075e-01 5.31443e+00 1.48506e-01
3.10975e-03 2.81277e-01  6.13733e-01 8.08424e-01 1.62743e-01
3.62379e-03 1.14442e+00  1.45769e+00 2.51386e+00 1.74240e-01
4.13772e-03 5.37472e+00  3.15507e-01 5.60471e+00 1.91555e-01
4.65191e-03 5.51264e-01  1.05579e+00 1.51988e+00 2.00386e-01
5.16601e-03 5.78545e-01  1.21379e+00 1.70497e+00 2.10631e-01
5.67989e-03 5.42278e+00  2.89141e-01 5.62667e+00 2.22218e-01
6.19410e-03 9.95807e-01  1.40427e+00 2.31244e+00 2.32973e-01
6.70824e-03 3.49833e-01  8.38238e-01 1.10177e+00 2.43389e-01
7.22211e-03 4.91609e+00  5.19946e-01 5.35044e+00 2.49225e-01
7.73630e-03 1.76026e+00  1.53684e+00 3.20922e+00 2.60615e-01
8.25048e-03 3.12481e-01  4.95327e-01 7.22469e-01 2.70931e-01
8.76438e-03 4.04655e+00  9.06850e-01 4.86720e+00 2.73496e-01
9.27855e-03 2.71488e+00  1.40081e+00 4.02826e+00 2.84495e-01
9.79275e-03 3.53515e-01  3.35292e-01 6.03993e-01 2.93058e-01
1.00000e-02 6.99062e-01  1.01047e+00 1.62340e+00 2.95183e-01
