1.92515e-04 3.78186e-07  3.93417e-04 3.93417e-04 0.00000e+00
3.85216e-04 3.78186e-07  1.57445e-03 1.57445e-03 0.00000e+00
5.78101e-04 3.78186e-07  3.54391e-03 3.54391e-03 0.00000e+00
7.71173e-04 3.78186e-07  6.30260e-03 6.30260e-03 0.00000e+00
9.64430e-04 3.78186e-07  9.85136e-03 9.85136e-03 0.00000e+00
1.15787e-03 3.78186e-07  1.41910e-02 1.41910e-02 0.00000e+00
1.35150e-03 3.78186e-07  1.93224e-02 1.93224e-02 0.00000e+00
1.54532e-03 3.78186e-07  2.52463e-02 2.52463e-02 0.00000e+00
1.73932e-03 3.78186e-07  3.19636e-02 3.19636e-02 0.00000e+00
1.93351e-03 3.78186e-07  3.94751e-02 3.94751e-02 0.00000e+00
2.12789e-03 3.78186e-07  4.77817e-02 4.77817e-02 0.00000e+00
2.32245e-03 3.78186e-07  5.68843e-02 5.68843e-02 0.00000e+00
2.51720e-03 3.78186e-07  6.67837e-02 6.67837e-02 0.00000e+00
2.71214e-03 3.78186e-07  7.74808e-02 7.74808e-02 0.00000e+00
2.90727e-03 3.78186e-07  8.89764e-02 8.89764e-02 0.00000e+00
3.10258e-03 3.78186e-07  1.01271e-01 1.01271e-01 0.00000e+00
3.29808e-03 3.78186e-07  1.14367e-01 1.14367e-01 0.00000e+00
3.49377e-03 3.78186e-07  1.28263e-01 1.28263e-01 0.00000e+00
3.68965e-03 3.78186e-07  1.42962e-01 1.42962e-01 0.00000e+00
3.88572e-03 3.78186e-07  1.58464e-01 1.58464e-01 0.00000e+00
4.08197e-03 3.78186e-07  1.74769e-01 1.74769e-01 0.00000e+00
4.27841e-03 3.78186e-07  1.91880e-01 1.91880e-01 0.00000e+00
4.47505e-03 3.78186e-07  2.09796e-01 2.09796e-01 0.00000e+00
4.67187e-03 3.78186e-07  2.28519e-01 2.28519e-01 0.00000e+00
4.86888e-03 3.78186e-07  2.48049e-01 2.48049e-01 0.00000e+00
5.06608e-03 3.78186e-07  2.68388e-01 2.68388e-01 0.00000e+00
5.26348e-03 3.78186e-07  2.89536e-01 2.89536e-01 0.00000e+00
5.46106e-03 3.78186e-07  3.11495e-01 3.11495e-01 0.00000e+00
5.65883e-03 3.78186e-07  3.34265e-01 3.34265e-01 0.00000e+00
5.85679e-03 3.78186e-07  3.57848e-01 3.57848e-01 0.00000e+00
6.05494e-03 3.78186e-07  3.82244e-01 3.82244e-01 0.00000e+00
6.25329e-03 3.78186e-07  4.07454e-01 4.07454e-01 0.00000e+00
6.45182e-03 3.78186e-07  4.33479e-01 4.33479e-01 0.00000e+00
6.65055e-03 3.78186e-07  4.60320e-01 4.60320e-01 0.00000e+00
6.84946e-03 3.78186e-07  4.87979e-01 4.87979e-01 0.00000e+00
7.04857e-03 3.78186e-07  5.16456e-01 5.16456e-01 0.00000e+00
7.24787e-03 3.78186e-07  5.45752e-01 5.45752e-01 0.00000e+00
7.44736e-03 3.78186e-07  5.75868e-01 5.75868e-01 0.00000e+00
7.64705e-03 3.78186e-07  6.06806e-01 6.06806e-01 0.00000e+00
7.84692e-03 3.78186e-07  6.38565e-01 6.38565e-01 0.00000e+00
8.04699e-03 3.78186e-07  6.71148e-01 6.71148e-01 0.00000e+00
8.24725e-03 3.78186e-07  7.04556e-01 7.04556e-01 0.00000e+00
8.44771e-03 3.78186e-07  7.38788e-01 7.38788e-01 0.00000e+00
8.64835e-03 3.78186e-07  7.73847e-01 7.73847e-01 0.00000e+00
8.84919e-03 3.78186e-07  8.09733e-01 8.09733e-01 0.00000e+00
9.05023e-03 3.78186e-07  8.46448e-01 8.46448e-01 0.00000e+00
9.25145e-03 3.78186e-07  8.83992e-01 8.83992e-01 0.00000e+00
9.45287e-03 3.78186e-07  9.22367e-01 9.22367e-01 0.00000e+00
9.65449e-03 3.78186e-07  9.61574e-01 9.61574e-01 0.00000e+00
9.85630e-03 3.78186e-07  1.00161e+00 1.00161e+00 0.00000e+00
1.00000e-02 3.78186e-07  1.03061e+00 1.03061e+00 0.00000e+00
